Source ontology term IRI	Source ontology term label	Include in View	User-preferred label	Include all children
http://purl.obolibrary.org/obo/FMA_70631		y	Cell morphology	
http://purl.obolibrary.org/obo/FMA_84795		y	Human leukocyte antigen (HLA) complex	
