Source ontology term IRI	Source ontology term label	Include in View	User-preferred label	Include all children
http://purl.obolibrary.org/obo/CHMO_0000156		y	X-ray diffraction	
http://purl.obolibrary.org/obo/CHMO_0000228		y	Spectroscopy	
http://purl.obolibrary.org/obo/CHMO_0000591		y	Nuclear Magnetic Resonance (NMR) spectroscopy	
http://purl.obolibrary.org/obo/CHMO_0000800		y	Spectrum	
http://purl.obolibrary.org/obo/CHMO_0001000		y	Chromatography	
http://purl.obolibrary.org/obo/CHMO_0001002		y	Gas chromatography	
