Source ontology term IRI	Source ontology term label	Include in View	User-preferred label	Include all children
http://purl.obolibrary.org/obo/CL_0000034		y	Stem cell	
http://purl.obolibrary.org/obo/CL_0000084		y	T cell	
http://purl.obolibrary.org/obo/CL_0000451		y	Dendritic cell	
http://purl.obolibrary.org/obo/CL_0000540		y	Neuron	
http://purl.obolibrary.org/obo/CL_0002248	pluripotent stem cell	y	Pluripotent stem cell	
http://purl.obolibrary.org/obo/CL_0002322	embryonic stem cell	y	Embryonic stem cell	
