Source ontology term IRI	Source ontology term label	Include in View	User-preferred label	Include all children
http://purl.obolibrary.org/obo/ENVO_00002034		y	Biofilm	
http://purl.obolibrary.org/obo/ENVO_00010483		y	Environmental material	
http://purl.obolibrary.org/obo/ENVO_01000049		y	Marine coral reef biome	
http://purl.obolibrary.org/obo/ENVO_01000204		y	Tropical	
http://purl.obolibrary.org/obo/ENVO_01000320		y	Marine environment	
http://purl.obolibrary.org/obo/ENVO_01000839	Combustion process	y	Combustion	
http://purl.obolibrary.org/obo/ENVO_01001082		y	Climate	
http://purl.obolibrary.org/obo/ENVO_01001110		y	Ecosystem	
