Source ontology term IRI	Source ontology term label	Include in View	User-preferred label	Include all children
http://purl.obolibrary.org/obo/PR_000000001		y	Protein	
http://purl.obolibrary.org/obo/PR_000037070		y	Phosphoprotein	
